Vardas                 Pavarde            ND1            ND2            ND3            ND4            ND5      Egzaminas
Laurisa           Dvejetaityte              5              5              1              1              2              1
Dovysdas          Informatikas              4              5              9             10              7              1
Mastas                Grafikis              2              7              1              3              6              1
Dovysdas              Baitenis              6              5              2              3              7              8
Gabrisele        Aritmetikaite              1              4             10              8              7              4
Dovysdas           Aritmetikas              9              2              8             10              1              8
Sinsija                Baituke              4              9              5              4              9              2
Dovysdas           Dvejetaitis              2              2              3              6              6              4
Slimonas           Astuntaitis              4              6              1              2              3              8
Vistorija            Grafikyte              9              9             10              7              8              5
Aslanas            Dvejetaitis              1              7             10              1              8              6
Luskas                Bitaitis              2              2              9              5              4              5
Aslanas         Sesioliktaitis              7              7              1              4              6              1
Vistorija         Informaityte              4              1              1              1              9              1
Sinsija           Informaityte              1              9              5              5              1              6
Sinsija              Grafikyte              9              7              1              7              4              8
Sinsija           Dvejetaityte              9              3              4              7              5             10
Agatsa            Informaityte              2              8              6             10              7             10
Slimonas           Indeksaitis              6              6             10              8              5              4
Luskas                Grafikis              5              3              6              3              1              1
Dovysdas           Astuntaitis              3              7              5             10             10              2
Vistorija         Informaityte              3              5              9              9              2              7
Luskas          Sesioliktaitis              3              2             10              9              2             10
Gabrisele              Bitaite              2              4              2              8              7              4
Dovysdas           Astuntaitis              8              3             10             10              8              9
Gabrisele         Dvejetaityte             10              3              8              7             10              1
Luskas                Baitenis              1             10              9              6              4             10
Slimonas              Bitaitis              2              8              4              6              6              7
Mastas                Baitenis              6              2              9              3             10              8
Vistorija         Informaityte              1              2             10              7              3              9
Slimonas          Informatikas             10              1              8              8              5              4
Laurisa             Indeksaite              9              4              5              3              9              6
Mastas                Grafikis              6             10              4              3              2              3
Laurisa           Dvejetaityte              6              7             10              7              6              5
Gabrisele         Astuntainyte              1             10              1              9              3              4
Gabrisele         Dvejetaityte              6              1              1              7              8              2
Dovysdas        Sesioliktaitis              5              1              7              5              5              6
Mastas             Aritmetikas              5              2              7              5              8             10
Laurisa              Bugovaite              9              6              2              1              9              6
Mastas                Grafikis              5              8              9              9              4              5
Laurisa              Bugovaite              4              1              3              7              8              9
Laurisa           Dvejetaityte              1              7              9              4              9              3
Gabrisele        Aritmetikaite              2              6              3              1              5              5
Laurisa              Bugovaite             10              8             10             10             10              4
Luskas             Astuntaitis              8              6              1              6              3              3
Laurisa          Aritmetikaite              9              1              3              2              6              6
Gabrisele           Indeksaite              6              9              4              4              8             10
Mastas                Bitaitis              9              9              3              8              7             10
Slimonas               Bugovas              1              8              7              4              5              4
Aslanas            Indeksaitis              8              4              7             10              7              4
Dovysdas          Informatikas              7              1              8              1              6              1
Vistorija        Aritmetikaite              7              8              1              9              6              9
Gabrisele           Indeksaite              8             10              2              4              6              1
Agatsa                 Bitaite              2              3              4              7              4              7
Slimonas              Baitenis              9              1              8              4              6              6
Agatsa                 Bitaite              8              7              2              7              3              8
Mastas          Sesioliktaitis             10              2              5              9             10             10
Luskas                Bitaitis             10              6              3              8              2              1
Laurisa           Dvejetaityte              3              9              4              7              4              3
Dovysdas              Baitenis              1              3             10              9              6              5
Laurisa           Informaityte              4              6             10              4              9             10
Dovysdas               Bugovas              5              1              4              1              8              1
Mastas          Sesioliktaitis              2             10              5              3              4              4
Agatsa                 Baituke              7              7              9              4              2              2
Laurisa                Baituke              2              4             10              8              2              7
Agatsa                 Baituke              9              7              3              2             10              4
Luskas             Astuntaitis              7              6              8              8              2              3
Luskas                Bitaitis              1              7              2              8              3              8
Gabrisele              Bitaite              9              7              5              9              4              3
Laurisa           Informaityte              4              2              7              7              4              3
Gabrisele         Informaityte             10              5              6              4              9              2
Slimonas           Indeksaitis              9              2              9              2              2              6
Laurisa                Baituke             10              8              2              5              8              3
Agatsa               Grafikyte              7              5              7             10              8              3
Laurisa                Baituke              3              5              1              9              8              3
Aslanas            Indeksaitis              7              8              2              1              5              7
Vistorija        Aritmetikaite              7              2              4              3              9              8
Aslanas            Aritmetikas              7              6              1              5              6              7
Laurisa          Aritmetikaite              2              4              9              9              6              3
Gabrisele         Informaityte              9              3              1              5             10              1
Dovysdas           Aritmetikas              3              7             10              7              8              7
Mastas             Aritmetikas              8              4              2              1              8              8
Dovysdas              Bitaitis              2              8             10              8              2              1
Vistorija            Grafikyte              2              3              8              2              2             10
Aslanas           Informatikas              9              8              2              9             10              9
Gabrisele         Astuntainyte              2              2              4              2              4              8
Agatsa              Indeksaite             10              9              2              2              2              7
Sinsija              Grafikyte              2             10              3              8              2              1
Mastas             Astuntaitis              6              1              3             10              9              6
Slimonas              Bitaitis              6              1              2              4              4              3
Sinsija                Baituke              8              2              6              1              8             10
Gabrisele         Dvejetaityte              9              3             10              3              9             10
Aslanas            Aritmetikas              1              4              6              2              9              1
Agatsa            Astuntainyte              5              2              8              1              2              1
Mastas          Sesioliktaitis              3              8              2              1             10             10
Aslanas           Informatikas              5              5              5              4              5              4
Sinsija              Grafikyte             10             10              4              7              7              3
Gabrisele           Indeksaite              5              5              3              4              5              4
Gabrisele            Grafikyte              5              4              3              1              4              4
Slimonas           Dvejetaitis              5             10             10              8              3             10
Vistorija      Sesioliktaityte              5              7              7              1              6              3
Luskas                Baitenis             10              7              3              5              3              1
Gabrisele           Indeksaite              7              2              7              9              2              2
Slimonas        Sesioliktaitis              8              3              2             10              1              8
Aslanas            Astuntaitis              5              5              7              2              3              5
Slimonas              Baitenis              2              9              9              2              2              6
Agatsa            Informaityte              5             10              2              5              1              8
Dovysdas              Bitaitis             10              3              1              4             10              2
Mastas             Aritmetikas              6              4              6              3              3              4
Dovysdas           Astuntaitis              9              5              1              7              4              8
Gabrisele         Dvejetaityte              6              8              3              6              5              6
Agatsa                 Baituke             10              1              6              7              8              2
Sinsija             Indeksaite              4              2              2              1              7             10
Vistorija              Bitaite              8              9              5             10             10              8
Sinsija              Bugovaite              4              8              8              3              6              5
Dovysdas           Indeksaitis              4              5              4              4              8              7
Gabrisele         Astuntainyte              4              4              5              2              4              9
Laurisa              Bugovaite              1              8             10              4              5              5
Sinsija                Bitaite              5              3              7              8              5              7
Dovysdas           Dvejetaitis             10              8              6              3              9              7
Gabrisele        Aritmetikaite              8              5              2              4              6              8
Dovysdas              Bitaitis              1              9              8              1              4              2
Vistorija              Bitaite              9              9             10              4              5              9
Vistorija        Aritmetikaite              5              3              4             10              7              2
Agatsa               Grafikyte              1              2             10              9              8              9
Gabrisele            Grafikyte              9              8              2              1              7             10
Aslanas                Bugovas              2              8             10              5              6              7
Dovysdas              Baitenis              3             10              6              4              6              9
Aslanas               Bitaitis              6              2              6              4              9              7
Gabrisele            Bugovaite              8              6              4              2              8              4
Laurisa        Sesioliktaityte              5              9              8              9              8              4
Gabrisele              Baituke              5              2              8              7              6              5
Vistorija      Sesioliktaityte              6              6              8              6              8              2
Luskas             Indeksaitis              4              2              6              3              7             10
Sinsija           Astuntainyte              4              3              8              8              6              1
Luskas          Sesioliktaitis              7              6              2              1              5              7
Slimonas           Dvejetaitis              9              8              7              1              9              9
Gabrisele        Aritmetikaite              6              6              5              9              1              4
Luskas                 Bugovas              9              6              8              4              3             10
Vistorija            Grafikyte              6              5              5              8              3              3
Luskas             Dvejetaitis              1              8              9              9              5              3
Mastas            Informatikas              1              2              7              8              3              9
Aslanas            Aritmetikas              6              5              5              9              8              5
Mastas             Aritmetikas              1              3              2              2              7              1
Dovysdas           Dvejetaitis              8              9              8              6              5              4
Luskas                 Bugovas              7              6              4             10              8             10
Aslanas               Baitenis              2              7              9              9              3              5
Sinsija           Astuntainyte              7              8              1              2              8              6
Aslanas               Baitenis              8              9              8              3              5              9
Laurisa             Indeksaite              1              6              4              4              4              9
Slimonas               Bugovas              2              5              2              2              6              1
Aslanas               Grafikis              8             10              6              2              7              5
Dovysdas        Sesioliktaitis              8              1              5              3              3              5
Aslanas           Informatikas              7              4              1              6              3              6
Dovysdas        Sesioliktaitis              7              8              4              9              6             10
Gabrisele            Grafikyte             10              9              2              3              2              2
Luskas                Grafikis              3              8             10              5             10              7
Mastas             Astuntaitis              3              5              7              5             10              9
Luskas            Informatikas              2              9              5              6              9              3
Mastas                Baitenis              4              3              1              6              9              9
Agatsa               Bugovaite              4              7              2              4              4              1
Mastas                Grafikis              3              4              9              2              6              4
Sinsija           Informaityte              4              7              8              7              8              6
Agatsa               Grafikyte              8             10              5              1              6              2
Mastas             Aritmetikas              6              2              7              5             10             10
Sinsija              Grafikyte              5              3              7              5              9              6
Agatsa                 Bitaite              6              3              6              8              3              3
Luskas                Baitenis              8              1              5              2              7              4
Gabrisele         Informaityte             10              6              9              2              7              6
Slimonas          Informatikas              7              1              3              7              8              9
Mastas          Sesioliktaitis              1              6              4              9              3             10
Sinsija              Grafikyte              4              8             10             10              6              1
Sinsija          Aritmetikaite              6              9              6              2             10              3
Sinsija             Indeksaite              2              1              7             10              1             10
Laurisa           Astuntainyte              1              6              5              3              4              2
Sinsija                Bitaite              2             10              2              6              7              4
Laurisa                Bitaite              8             10              8              5              9              2
Mastas             Indeksaitis              8              4              5              3              3              7
Vistorija            Grafikyte              3              9              3              1              7              6
Vistorija      Sesioliktaityte              9             10              4              5              4              8
Luskas             Astuntaitis              7              7              6              1              7              6
Gabrisele      Sesioliktaityte              7              1              6              4              6              6
Sinsija              Grafikyte              7              2             10              6              7              1
Vistorija         Informaityte             10              4              8              4              7              4
Gabrisele      Sesioliktaityte              2              4              6              2              3             10
Aslanas                Bugovas              2              5              4             10              5              6
Luskas             Indeksaitis              3              6             10              8              4              9
Laurisa           Informaityte              1              1              4              3              3              5
Agatsa              Indeksaite              9              7              7              1              6              9
Agatsa           Aritmetikaite              9              3              2              7              3              3
Mastas            Informatikas              3              7              8              6              8              5
Slimonas           Dvejetaitis              1              4              2             10              3             10
Aslanas         Sesioliktaitis              3             10              4              7              3              7
Agatsa         Sesioliktaityte              7             10              9              7              8              5
Dovysdas               Bugovas              8             10              6              8              4              3
Gabrisele              Bitaite              1             10              2              4              8              2
Aslanas            Aritmetikas              9              8              9              6             10              3
Aslanas               Baitenis              4              8              7              3              2              8
Mastas                Bitaitis              6             10              5              4              9              9
Aslanas            Indeksaitis              5              9              1              9              8              4
Aslanas            Indeksaitis              5              9              5              6              2              9
Laurisa              Bugovaite              5              7              4              3              1              1
Gabrisele              Bitaite              1              6              8              3              6              7
Sinsija        Sesioliktaityte              2              4              7              5              5             10
Gabrisele              Baituke              6              4              7              2              6              4
Mastas             Dvejetaitis              8              3             10              1              6              7
Slimonas              Baitenis              6              7             10              4              6              3
Laurisa                Baituke              6              1              1              2              3              6
Dovysdas          Informatikas              1             10              1              2              7              6
Mastas                Bitaitis              7              9             10              3              1              5
Dovysdas               Bugovas              9              5              9              4              4              5
Sinsija           Informaityte              9              3              4              7              4             10
Agatsa         Sesioliktaityte              1              8              1              6              7              1
Sinsija           Dvejetaityte              6              2              5              4              6              4
Dovysdas           Dvejetaitis              1              6              6              3              4              7
Aslanas               Grafikis              1              1              8              3              8              9
Aslanas                Bugovas              4              5              3             10              2             10
Laurisa           Astuntainyte              4              3              7              6              8              8
Agatsa                 Baituke              6              9              3              1              2              2
Aslanas               Grafikis              5              1             10              5              7              4
Aslanas            Aritmetikas              1             10              4             10              1              7
Agatsa            Informaityte              4              1              2              9              5              7
Mastas             Dvejetaitis              9              7              2              3              5              6
Dovysdas           Dvejetaitis              4              3              4              8              6              3
Dovysdas              Baitenis              7              5              8              8              4              5
Luskas                Baitenis              3              1              7              5              3              8
Slimonas              Baitenis              6              4              8              5              8              6
Mastas                 Bugovas              6              8              5              8              3              3
Sinsija              Grafikyte              9              2              7              2              5              8
Slimonas              Baitenis              3              3              2              3              3             10
Mastas             Aritmetikas              6             10              6              1              4              4
Sinsija             Indeksaite              2              9              6              9              5              2
Luskas             Aritmetikas              7              2              6              5              4              2
Gabrisele         Dvejetaityte              5              7              4              5              4              2
Slimonas           Indeksaitis              1             10              1              3              6              8
Vistorija              Bitaite              9              8              4              1              8             10
Dovysdas           Dvejetaitis              1              6              7              4              4              2
Gabrisele              Bitaite              2              8              8              1              4             10
Slimonas           Astuntaitis              5              9              2              2              5              8
Sinsija             Indeksaite              3              8             10              3              4              9
Dovysdas           Aritmetikas              2              3              9              5              9              4
Vistorija           Indeksaite              1              2              1              2              2              9
Sinsija              Grafikyte              8              9              8              4              5              5
Laurisa           Dvejetaityte              6              5              2              7              2              2
Mastas                Baitenis              4              6             10              4              3              8
Gabrisele        Aritmetikaite              8              9              7              5              7              5
Slimonas           Indeksaitis              7             10              3              7              8              6
Aslanas            Astuntaitis              7              6              4             10              2              1
Laurisa                Bitaite              6              7              2              8              1             10
Dovysdas               Bugovas              1              9              4              9              9             10
Slimonas           Astuntaitis              2              4             10              9              6              5
Agatsa                 Baituke              5              5              7              2              2              4
Luskas                Baitenis              9              4              1             10              1              2
Luskas          Sesioliktaitis              2              6              1              9              9              5
Slimonas           Aritmetikas             10              8              9              4              5              8
Mastas            Informatikas              2              1              3              3              7              4
Aslanas               Grafikis              8              1              3              7              6             10
Dovysdas              Grafikis              3              3             10              3              5              5
Slimonas               Bugovas              8              1             10              7              9              6
Laurisa              Grafikyte              4              8              3             10              8              1
Aslanas               Baitenis              5             10             10              4             10              5
Vistorija        Aritmetikaite              9              7              4              2              9              5
Dovysdas        Sesioliktaitis              5              2              9             10              7              2
Sinsija              Grafikyte              8              7              7              6              9              5
Agatsa                 Bitaite              2              4              7             10              5              9
Aslanas                Bugovas              5              7              1              3              2              8
Slimonas              Baitenis              9              4             10              5              7              2
Luskas          Sesioliktaitis              3              2              6              3              2              2
Aslanas            Aritmetikas              9              3              7              8              6             10
Dovysdas           Indeksaitis              1              9             10              6              7              6
Slimonas              Baitenis              9              1              3              1              4              4
Vistorija            Bugovaite              4              3              5              6              5              9
Sinsija              Grafikyte              9              1             10              5              1              3
Agatsa         Sesioliktaityte              8              6              2              8              9              3
Mastas                 Bugovas              8              1              6              3              4              7
Aslanas                Bugovas              6              5             10              8              9              6
Slimonas          Informatikas              9              3             10              2              5              5
Agatsa               Bugovaite              2              3              8              3              4              3
Aslanas           Informatikas              5              2              5              8              3              2
Mastas          Sesioliktaitis              9              5              6              9              1              9
Sinsija                Bitaite             10             10              1              2              2              2
Agatsa               Bugovaite              6              5              3              7              6              6
Sinsija           Dvejetaityte              4              6              6              8              3              7
Gabrisele            Grafikyte              9              9              4              3              8              9
Laurisa              Bugovaite             10              3              7              8             10              3
Dovysdas              Baitenis              7              4              8              4             10             10
Aslanas         Sesioliktaitis              5              1              7              7              3             10
Luskas             Dvejetaitis              5              7              3              8              7              5
Dovysdas           Aritmetikas              8              5              6              6              6              5
Luskas                Grafikis              1             10              8              1              8              7
Aslanas               Grafikis              5              1              5              5              9              1
Sinsija           Informaityte              8              1              8              9              3             10
Slimonas        Sesioliktaitis              3              8              6              6              8              7
Gabrisele      Sesioliktaityte              3              8              9              1              6              4
Vistorija            Bugovaite             10              3              8             10              7              4
Slimonas              Bitaitis             10              9              7             10              3              9
Gabrisele         Dvejetaityte             10              8             10              7             10              6
Slimonas           Dvejetaitis             10              7              6              3              7              2
Slimonas           Astuntaitis              4              7             10              6             10              1
Sinsija           Informaityte              7              5              1              7              4              3
Slimonas              Baitenis             10              6              2              5              5              5
Vistorija      Sesioliktaityte              3              4              6              1              5              4
Laurisa           Dvejetaityte              4              6              7              3              1              3
Laurisa           Astuntainyte              9              2              7              5              3              5
Laurisa        Sesioliktaityte              5              2              7              7              1              7
Vistorija         Astuntainyte              1              5              9              6              5              3
Vistorija        Aritmetikaite              6              9              5              5              6              5
Slimonas              Grafikis              9              2             10              5             10              5
Luskas                Bitaitis              1              6              1              5              6              2
Mastas                Baitenis              1              8              7              7              4             10
Laurisa                Bitaite              1             10             10              9              9              7
Dovysdas           Indeksaitis             10              7              7              6              9              1
Agatsa                 Baituke              6              9              4             10              2              4
Agatsa           Aritmetikaite              8             10              8              8              2             10
Mastas            Informatikas              4              1              7              8              1             10
Gabrisele         Informaityte              8              7              4              3              2              2
Luskas                Grafikis              6              9              9              8              6              9
Slimonas        Sesioliktaitis              9              6              4             10              5              2
Gabrisele         Astuntainyte              2              1              5              6              5              1
Gabrisele         Dvejetaityte              4              4             10              8              2              6
Aslanas            Indeksaitis              6             10              4              4              5              8
Agatsa                 Bitaite              5              2              1              3              4              9
Dovysdas          Informatikas              2              1             10              7              2              7
Agatsa         Sesioliktaityte              2              5              4              2              8              4
Slimonas           Dvejetaitis              3             10              1              9              3              5
Vistorija            Grafikyte              7              4              6              3              3              8
Slimonas              Baitenis              5              5              1             10              8              8
Vistorija            Bugovaite              2             10              9              4              2              9
Vistorija              Bitaite              5              2              8              8              3              1
Laurisa             Indeksaite              5              4              5              3              1             10
Slimonas               Bugovas              6             10              3              6              7              2
Vistorija         Informaityte              1              7              9              2             10              1
Slimonas           Dvejetaitis              5              9              1              2              4              9
Sinsija          Aritmetikaite             10              5              5              4              4              7
Luskas                Bitaitis              1             10              4              9             10              9
Luskas                Grafikis             10              2              5              5              3              3
Vistorija           Indeksaite              9              5              3              6              3              2
Gabrisele            Grafikyte              4              5              2              9              7              1
Dovysdas        Sesioliktaitis              4              7              8              1              2              1
Vistorija              Bitaite              7              5              9              4              6             10
Sinsija           Informaityte              7              5              3              8              2              9
Dovysdas           Indeksaitis              8              9              9              8              2             10
Aslanas                Bugovas              5              6             10              9              2              1
Dovysdas              Bitaitis              6             10             10             10              6              5
Gabrisele              Baituke              2              3              1              8              1              3
Mastas            Informatikas              6              6              8              6              4              6
Gabrisele            Bugovaite              9              3              9              2              8              5
Luskas                Bitaitis              8              6              7              3             10              3
Aslanas            Indeksaitis              6              8              2              3              8              4
Dovysdas           Aritmetikas              2              1              9              9             10              1
Vistorija            Grafikyte              3              8              8              3              7              1
Laurisa              Grafikyte             10             10              9              4              3              8
Luskas          Sesioliktaitis              8              7              5              8              8              7
Vistorija           Indeksaite              7              6              7              2             10              8
Agatsa                 Bitaite              3              3              7              2              3             10
Gabrisele         Astuntainyte              6              3              2              5              7              7
Laurisa              Bugovaite              1              2              6              8              8              4
Gabrisele         Astuntainyte              3              2              1              9              5              7
Mastas            Informatikas              9              1              6              7              7              1
Gabrisele              Baituke              5              8              5              5             10              8
Mastas                Bitaitis              9              7              7              8              7              1
Sinsija        Sesioliktaityte              2              2             10              2              1              8
Slimonas               Bugovas              7             10              4             10             10              7
Gabrisele        Aritmetikaite              4             10              5              3              4              7
Slimonas              Baitenis              2              9              7              4              4              4
Luskas             Dvejetaitis              5              8             10              9              8              8
Vistorija      Sesioliktaityte              8              1              6              8              2              1
Agatsa         Sesioliktaityte              5              5              1              9              1              4
Agatsa            Astuntainyte              9              9              8              5              6              5
Agatsa               Grafikyte              2              3              7              5              5              6
Luskas            Informatikas              5              7              4              5             10              4
Sinsija                Baituke              2              1              2              2              4              1
Gabrisele         Informaityte              8              9              7              8             10              8
Vistorija            Bugovaite              5              2              6              9             10              2
Agatsa            Informaityte              1              2              6              7              5              4
Dovysdas              Baitenis              7              6              4              5             10              2
Luskas            Informatikas              9              3              8              2              9             10
Luskas                 Bugovas              2              6              8              2              1              1
Slimonas        Sesioliktaitis              3              7              9             10              4              4
Vistorija         Dvejetaityte              1             10              6              5              2              7
Luskas             Dvejetaitis              1              7              4              1             10              7
Dovysdas              Grafikis             10              4              3              8              4              1
Mastas                 Bugovas              5              5              2              6              7              1
Slimonas           Aritmetikas              6              3              7              4              2              2
Aslanas               Bitaitis              3              1              2             10              8              4
Sinsija              Grafikyte              2              1              6             10              2             10
Dovysdas        Sesioliktaitis              3              6              1              2              1              7
Laurisa              Grafikyte              7              5              3              8              1              5
Sinsija           Astuntainyte              2              6              5              5              3             10
Gabrisele      Sesioliktaityte              9              6              9              6              7              7
Mastas             Indeksaitis              3              6              1              3              5              3
Luskas             Astuntaitis              7              8              4              8              5              3
Laurisa                Baituke              4              1              3              8              5              9
Aslanas           Informatikas              1              3             10              7              8              4
Agatsa            Astuntainyte              1              5              6              9              7             10
Aslanas               Baitenis              4              1              6              1              4              4
Aslanas            Aritmetikas              5              2              6              1              5              5
Mastas             Dvejetaitis              1              4              6              6              5              8
Mastas                Bitaitis              4              7              8              4              9              4
Sinsija                Baituke              2              4              5              9              6              9
Aslanas                Bugovas              4              4             10              9              7              7
Laurisa        Sesioliktaityte              4              9              6              3              2              1
Agatsa               Bugovaite              8              2             10              8              1              8
Slimonas           Dvejetaitis              2              6              6              1              1              1
Slimonas           Aritmetikas              1              2              8              1              2              4
Luskas             Dvejetaitis              7              4              4              1              7              7
Laurisa              Grafikyte              9              1              5              2             10              6
Mastas                 Bugovas              9              9             10              5              1              6
Aslanas            Dvejetaitis              7              4              2              6              3              4
Mastas          Sesioliktaitis             10             10              7              1             10              8
Laurisa           Dvejetaityte              4              7              8              3              5              4
Laurisa              Grafikyte              4              7              3              1              8              6
Agatsa           Aritmetikaite              2              8              4              9             10              9
Laurisa                Baituke             10              2              9              6             10              8
Mastas            Informatikas              2              7              5              4             10              5
Laurisa              Bugovaite             10              1              5             10              4              6
Gabrisele         Informaityte              5             10              3              5              4              2
Mastas            Informatikas              2              9             10              6              4              6
Luskas                Baitenis              2              9              7              7              8              5
Aslanas               Bitaitis              9              4              9              2              6              6
Mastas            Informatikas              4              3              5              3             10              6
Dovysdas           Aritmetikas              9              2              1              5             10              1
Laurisa          Aritmetikaite              8              4              7              2              9              2
Laurisa             Indeksaite              8             10              7              2              7              5
Gabrisele        Aritmetikaite             10             10              5             10              3              2
Dovysdas        Sesioliktaitis              6             10              8              6              4              9
Sinsija        Sesioliktaityte              8              2              8              4              2              3
Gabrisele         Astuntainyte              3              4              4              2              3              7
Gabrisele           Indeksaite              5              5              1              1              7              5
Laurisa             Indeksaite              1              2             10              9              1              3
Vistorija            Bugovaite              6              9             10              2              8              8
Mastas                 Bugovas              5              4              5              7              5              8
Mastas             Dvejetaitis              7              2              5              7              9              4
Aslanas            Dvejetaitis             10              8              4              9              5              6
Vistorija      Sesioliktaityte              5              7              2              2              6              7
Slimonas              Grafikis              9              6             10              5              5              9
Laurisa              Bugovaite              5              1              6              4              7              8
Mastas                Grafikis              8              7             10              9              6             10
Mastas                Grafikis              3              2              4              1              5              3
Slimonas           Aritmetikas              5              6              4              9              3              1
Gabrisele         Informaityte              4              9             10              1              2              2
Gabrisele        Aritmetikaite              6              6              8              7              4              7
Sinsija           Astuntainyte              1             10              1              4              9              3
Mastas            Informatikas              3              4              3              7             10              6
Aslanas            Dvejetaitis             10              1              3              3              4              2
Aslanas            Astuntaitis              3              6              5              9              5              8
Mastas             Astuntaitis              5              1              7              9              2              6
Vistorija         Dvejetaityte             10              9              5              1              1              6
Vistorija            Grafikyte              8             10              2              2              9             10
Agatsa         Sesioliktaityte             10             10              4              6             10              9
Agatsa                 Bitaite              2              1             10              4              7              7
Aslanas               Grafikis              2              7              7              7              7              4
Luskas             Aritmetikas              8              6              8              4              1              6
Luskas                Grafikis              4              5              6              8              7              5
